File Name: ,Test Description: ,Operator: ,Special Comments: ,Date and Time: 21 Dec 2020_115135,Sampling Rate (Hz): 100,
Calibration Constants,8.625 N/V,7.791 N/V,7.941 N/V
Offsets,8.627 N,8.026 N,8.016 N
Micrometer,12.800 mm,12.800 mm,12.800 mm
Time (s),LC-X (N),LC-Y(N),LC-Z (N),Angle (deg),Est. Speed (rev/s)
3.840,8.621,8.024,8.011,0.900,0.000
3.850,8.624,8.024,8.014,0.900,0.000
3.860,8.624,8.026,8.014,0.900,0.000
3.870,8.621,8.026,8.014,0.900,0.000
3.880,8.624,8.026,8.016,0.900,0.000
3.890,8.624,8.029,8.019,0.900,0.000
3.900,8.627,8.024,8.014,0.900,0.000
3.910,8.627,8.024,8.014,0.900,0.000
3.920,8.624,8.024,8.008,0.900,0.000
3.930,8.624,8.024,8.011,0.900,0.000
3.940,8.624,8.024,8.016,0.900,0.000
3.950,8.624,8.026,8.016,0.900,0.000
3.960,8.624,8.026,8.019,0.900,0.000
3.970,8.624,8.024,8.011,0.900,0.000
3.980,8.624,8.026,8.008,0.900,0.000
3.990,8.624,8.026,8.014,0.900,0.000
4.000,8.624,8.024,8.011,0.900,0.000
4.010,8.624,8.026,8.014,0.900,0.000
4.020,8.621,8.021,8.019,0.900,0.000
4.030,8.624,8.024,8.014,0.900,0.000
4.040,8.621,8.019,8.011,0.900,0.000
4.050,8.624,8.019,8.011,0.900,0.000
4.060,8.624,8.026,8.011,0.900,0.000
4.070,8.627,8.024,8.014,0.900,0.000
4.080,8.621,8.026,8.016,0.900,0.000
4.090,8.624,8.026,8.016,0.900,0.000
4.100,8.624,8.024,8.016,0.900,0.000
4.110,8.624,8.021,8.014,0.900,0.000
4.120,8.624,8.024,8.011,0.900,0.000
4.130,8.627,8.024,8.016,0.900,0.000
4.140,8.624,8.029,8.016,0.900,0.000
4.150,8.624,8.026,8.016,0.900,0.000
4.160,8.624,8.024,8.011,0.900,0.000
4.170,8.627,8.024,8.014,0.900,0.000
4.180,8.627,8.024,8.014,0.900,0.000
4.190,8.621,8.024,8.008,0.900,0.000
4.200,8.627,8.026,8.014,0.900,0.000
4.210,8.621,8.029,8.019,0.900,0.000
4.220,8.624,8.024,8.019,0.900,0.000
4.230,8.627,8.024,8.014,0.900,0.000
4.240,8.621,8.024,8.014,0.900,0.000
4.250,8.624,8.026,8.014,0.900,0.000
4.260,8.627,8.026,8.016,0.900,0.000
4.270,8.624,8.026,8.011,0.900,0.000
4.280,8.624,8.024,8.016,0.900,0.000
4.290,8.627,8.026,8.014,0.900,0.000
4.300,8.627,8.026,8.014,0.900,0.000
4.310,8.630,8.026,8.014,0.900,0.000
4.320,8.624,8.029,8.014,0.900,0.000
4.330,8.619,8.024,8.016,0.900,0.000
4.340,8.624,8.029,8.019,0.900,0.000
4.350,8.624,8.024,8.016,0.900,0.000
4.360,8.624,8.026,8.016,0.900,0.000
4.370,8.627,8.024,8.011,0.900,0.000
4.380,8.624,8.021,8.014,0.900,0.000
4.390,8.627,8.026,8.011,0.900,0.000
4.400,8.627,8.024,8.011,0.900,0.000
4.410,8.624,8.026,8.016,0.900,0.000
4.420,8.630,8.026,8.016,0.900,0.000
4.430,8.630,8.021,8.011,0.900,0.000
4.440,8.624,8.024,8.014,0.900,0.000
4.450,8.624,8.024,8.014,0.900,0.000
4.460,8.627,8.021,8.016,0.900,0.000
4.470,8.627,8.024,8.014,0.900,0.000
4.480,8.624,8.026,8.016,0.900,0.000
4.490,8.627,8.029,8.019,0.900,0.000
4.500,8.624,8.026,8.014,0.900,0.000
4.510,8.627,8.026,8.016,0.900,0.000
4.520,8.624,8.024,8.014,0.900,0.000
4.530,8.627,8.024,8.014,0.900,0.000
4.540,8.624,8.026,8.016,0.900,0.000
4.550,8.627,8.026,8.019,0.900,0.000
4.560,8.627,8.026,8.016,0.900,0.000
4.570,8.624,8.029,8.014,0.900,0.000
4.580,8.624,8.024,8.011,0.900,0.000
4.590,8.627,8.024,8.011,0.900,0.000
4.600,8.624,8.024,8.019,0.900,0.000
4.610,8.627,8.024,8.019,0.900,0.000
4.620,8.624,8.024,8.016,0.900,0.000
4.630,8.621,8.024,8.016,0.900,0.000
4.640,8.624,8.026,8.014,0.900,0.000
4.650,8.624,8.026,8.011,0.900,0.000
